催化剂编号,指标,最终模型,模型表达式,调整R2,RMSE,LOOCV_RMSE,二次项F检验p值,最大绝对标准化残差,选择依据
A1,C4烯烃选择性,一次多项式,"y = 50.784 + 15.436*z, z=(T-350)/100",0.715889504932944,2.83987711001726,5.21486265154604,0.221805165137635,1.54134774174328,二次模型样本内拟合可能改善，但LOOCV变差，优先一次模型
A1,乙醇转化率,二次多项式,"y = 35.7143 + 58.7652*z + 25.4463*z^2, z=(T-350)/100",0.959495389400913,1.73634076066092,5.29205723451497,0.162497579738931,1.34704932721277,F检验虽未必显著，但LOOCV、调整R2和RMSE均明显改善
A10,C4烯烃选择性,二次多项式,"y = 4.02732 + 8.53955*z + 6.9855*z^2, z=(T-350)/100",0.956937387385502,0.473978826009486,2.15187447390535,0.0426547707328652,1.3996265672346,二次项显著，且调整R2提高、LOOCV未明显恶化
A10,乙醇转化率,二次多项式,"y = 10.172 + 27.0122*z + 17.961*z^2, z=(T-350)/100",0.988018769659121,0.828377502795201,3.89393702067978,0.0204028491522238,1.34330201416002,二次项显著，且调整R2提高、LOOCV未明显恶化
A11,C4烯烃选择性,二次多项式,"y = 4.41039 + 6.07373*z + 1.8313*z^2, z=(T-350)/100",0.998888092745838,0.066625324779088,0.255992625403705,0.0128432411190454,1.40069277429509,二次项显著，且调整R2提高、LOOCV未明显恶化
A11,乙醇转化率,二次多项式,"y = 10.3338 + 31.6462*z + 22.7221*z^2, z=(T-350)/100",0.974253145408995,1.39900206885581,6.72161911463317,0.0355185948800856,1.41155803971102,二次项显著，且调整R2提高、LOOCV未明显恶化
A12,C4烯烃选择性,二次多项式,"y = 21.7865 + 24.8428*z + 9.01945*z^2, z=(T-350)/100",0.998515707233418,0.30572445333111,1.42507671251573,0.0111767857171051,1.41273059506509,二次项显著，且调整R2提高、LOOCV未明显恶化
A12,乙醇转化率,二次多项式,"y = 20.6283 + 37.7807*z + 19.031*z^2, z=(T-350)/100",0.998165850865383,0.484187297891099,2.32080217522173,0.00634307759139863,1.39448903910187,二次项显著，且调整R2提高、LOOCV未明显恶化
A13,C4烯烃选择性,一次多项式,"y = 21.081 + 16.2772*z, z=(T-350)/100",0.969031868372036,1.35167074138026,2.60152331699212,0.541456398797703,1.6116948108461,二次模型样本内拟合可能改善，但LOOCV变差，优先一次模型
A13,乙醇转化率,二次多项式,"y = 15.8844 + 36.1896*z + 22.4556*z^2, z=(T-350)/100",0.993015544290504,0.861596304020328,4.10504259171136,0.0142540789816603,1.37640234769349,二次项显著，且调整R2提高、LOOCV未明显恶化
A14,C4烯烃选择性,二次多项式,"y = 10.6928 + 18.4407*z + 9.69083*z^2, z=(T-350)/100",0.998926588543434,0.179009058626547,0.422347465885552,0.00335877353852887,1.33890236739762,二次项显著，且调整R2提高、LOOCV未明显恶化
